timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix)
1480499939.58,-0.031741,0.434384,2.800426,0.528661,0.615299,0.495812,-0.028788,-0.420852,-0.906672,-0.004583,-0.075440,-0.153157,5.000975,-34.387592,7.649590,,,,,,
1480499939.57,-0.035866,0.428400,2.794570,0.688093,0.618474,0.420111,-0.032618,-0.415416,-0.909047,-0.000753,-0.080876,-0.150783,5.000975,-34.387592,7.649590,,,,,,
1480499939.59,-0.027594,0.438569,2.806810,0.375347,0.654001,0.530313,-0.024979,-0.424645,-0.905016,0.075562,-0.094734,-0.245650,4.575212,-34.324322,8.181738,,,,,,
1480499939.60,-0.022437,0.442203,2.811894,0.361733,0.687113,0.347085,-0.020277,-0.427932,-0.903583,0.106077,-0.100343,-0.134045,4.575212,-34.324322,8.181738,,,,,,
1480499939.61,-0.013526,0.447441,2.808844,0.518956,0.726540,-0.500390,-0.012194,-0.432660,-0.901475,0.093828,-0.108188,0.018601,4.107945,-34.300846,8.521112,,,,,,
1480499939.62,-0.001294,0.453669,2.797966,0.585903,0.679089,-0.995601,-0.001163,-0.438267,-0.898844,0.052387,-0.089687,0.135066,4.107945,-34.300846,8.521112,,,,,,
1480499939.63,0.009075,0.459252,2.787755,0.494123,0.483292,-0.760471,0.008135,-0.443278,-0.896347,0.020903,-0.041158,0.190827,4.410071,-34.147816,8.972773,,,,,,
1480499939.64,0.013401,0.463378,2.782919,0.360044,0.098319,-0.282387,0.011987,-0.446973,-0.894467,0.008505,0.045987,0.155667,4.410071,-34.147816,8.972773,,,,,,
1480499939.65,0.011398,0.466465,2.782984,0.263890,-0.265948,0.091053,0.010180,-0.449732,-0.893106,-0.042269,0.168299,0.092752,4.794234,-33.996326,9.343330,,,,,,
1480499939.67,0.005651,0.468577,2.785689,0.180109,-0.456930,0.257883,0.005042,-0.451617,-0.892198,-0.126242,0.138858,0.028413,4.794234,-33.996326,9.343330,,,,,,
1480499939.68,-0.000381,0.471034,2.789195,0.259625,-0.385337,0.296968,-0.000340,-0.453808,-0.891099,-0.121730,0.228436,0.077425,4.769697,-33.959671,9.488058,,,,,,
1480499939.69,-0.005635,0.475228,2.792421,0.440927,-0.362727,0.249539,-0.005010,-0.457541,-0.889174,0.200750,0.029380,0.140029,4.705644,-33.951202,9.550149,,,,,,
1480499939.70,-0.012070,0.481670,2.794299,0.660485,-0.589556,0.108931,-0.010696,-0.463260,-0.886158,0.234405,0.049640,0.153965,4.644991,-33.924168,9.675097,,,,,,
1480499939.71,-0.019789,0.490940,2.793347,0.937051,-0.811008,-0.171010,-0.017451,-0.471455,-0.881718,0.258509,0.075596,0.035160,4.644991,-33.924168,9.675097,,,,,,
1480499939.72,-0.028080,0.503481,2.789134,1.238092,-1.017780,-0.431022,-0.024592,-0.482477,-0.875563,0.265651,0.086619,0.029005,4.644991,-33.924168,9.675097,,,,,,
1480499939.73,-0.037839,0.518596,2.783043,1.434028,-1.244907,-0.565422,-0.032856,-0.495661,-0.867894,0.227818,0.150263,-0.001689,5.001223,-33.623203,10.511923,,,,,,
1480499939.74,-0.050066,0.533760,2.778098,1.363553,-1.418964,-0.380974,-0.043084,-0.508774,-0.859821,0.085320,0.248032,0.005543,5.001223,-33.623203,10.511923,,,,,,
1480499939.75,-0.067424,0.547690,2.784110,1.348140,-1.223229,0.695663,-0.057518,-0.520717,-0.851790,0.024743,0.387630,-0.078264,5.661361,-33.238918,11.364672,,,,,,
1480499939.76,-0.087299,0.562910,2.802184,1.593401,-0.913259,1.476702,-0.073736,-0.533650,-0.842485,-0.025645,0.473530,-0.084715,5.661361,-33.238918,11.364672,,,,,,
1480499939.77,-0.108433,0.577848,2.825199,1.511793,-0.768258,1.688693,-0.090650,-0.546223,-0.832720,0.005140,0.481083,-0.018934,5.339766,-32.980827,12.238651,,,,,,
1480499939.78,-0.123534,0.587865,2.846935,0.973549,-0.065301,1.514735,-0.102535,-0.554586,-0.825785,0.111690,0.414831,0.099314,5.339766,-32.980827,12.238651,,,,,,
1480499939.79,-0.124630,0.591641,2.864007,0.368928,1.049065,1.190787,-0.103178,-0.557724,-0.823588,0.413786,0.334198,0.270534,4.348800,-32.784157,13.127059,,,,,,
1480499939.81,-0.098537,0.587023,2.885814,-0.305141,1.969888,0.680760,-0.081909,-0.553885,-0.828555,0.193786,-0.148020,0.265475,3.791492,-32.766727,13.341620,,,,,,
1480499939.80,-0.114337,0.590663,2.876625,-0.070626,1.766349,0.922442,-0.094758,-0.556912,-0.825149,0.206635,-0.144993,0.262069,3.791492,-32.766727,13.341620,,,,,,
1480499939.83,-0.083504,0.583286,2.891389,-0.285758,1.557438,0.397084,-0.069616,-0.550769,-0.831749,-0.125712,-0.346768,0.244789,2.672706,-32.860992,13.380751,,,,,,
1480499939.84,-0.075470,0.581353,2.895270,-0.104991,0.738434,0.316025,-0.063012,-0.549155,-0.833342,-0.368461,-0.479165,-0.519182,2.267494,-32.917305,13.316990,,,,,,
